,Accuracy,Precision,Recall,F1,AUC,N,Contamination
GODE,0.999,1.0,0.9803921568627451,0.99009900990099,0.999979338416083,1000.0,0.05
LOF,0.991,0.92,0.9019607843137255,0.9108910891089109,0.9975412715138742,1000.0,0.05
KNN,0.991,0.92,0.9019607843137255,0.9108910891089109,0.9973656480505795,1000.0,0.05
CBLOF,0.969,0.7,0.6862745098039216,0.693069306930693,0.9592140333477964,1000.0,0.05
OCSVM,0.923,0.37,0.7254901960784313,0.4900662251655629,0.8641500857455733,1000.0,0.05
MCD,0.999,1.0,0.9803921568627451,0.99009900990099,0.999958676832166,1000.0,0.05
Feature Bagging,0.993,0.94,0.9215686274509803,0.9306930693069307,0.9973966404264551,1000.0,0.05
ABOD,0.973,0.74,0.7254901960784313,0.7326732673267328,0.9902064092233311,1000.0,0.05
Isolation Forest,0.987,0.88,0.8627450980392157,0.8712871287128714,0.9958263600487613,1000.0,0.05
HBOS,0.972,0.9259259259259259,0.49019607843137253,0.6410256410256411,0.8636438769396062,1000.0,0.05
SOS,0.907,0.08,0.0784313725490196,0.0792079207920792,0.5417054071365112,1000.0,0.05
LSCP,0.985,0.86,0.8431372549019608,0.8514851485148515,0.9985330275418913,1000.0,0.05
GODE,0.999,1.0,0.9090909090909091,0.9523809523809523,1.0,1000.0,0.01
LOF,0.999,1.0,0.9090909090909091,0.9523809523809523,0.9997242393602354,1000.0,0.01
KNN,0.995,0.8,0.7272727272727273,0.761904761904762,0.999172718080706,1000.0,0.01
CBLOF,0.989,0.5,0.45454545454545453,0.47619047619047616,0.9689309679198457,1000.0,0.01
OCSVM,0.911,0.11,1.0,0.19819819819819817,0.9866715690780402,1000.0,0.01
MCD,0.999,1.0,0.9090909090909091,0.9523809523809523,1.0,1000.0,0.01
Feature Bagging,0.993,0.7,0.6363636363636364,0.6666666666666666,0.9984373563746668,1000.0,0.01
ABOD,0.997,0.9,0.8181818181818182,0.8571428571428572,0.9995403989337256,1000.0,0.01
Isolation Forest,0.993,0.7,0.6363636363636364,0.6666666666666666,0.9968747127493336,1000.0,0.01
HBOS,0.992,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.7696939056898612,1000.0,0.01
SOS,0.985,0.3,0.2727272727272727,0.28571428571428564,0.6587002481845758,1000.0,0.01
LSCP,0.997,0.9,0.8181818181818182,0.8571428571428572,0.999080797867451,1000.0,0.01
GODE,0.989,0.89,1.0,0.9417989417989417,0.9998766635010299,1000.0,0.1
LOF,0.933,0.61,0.6853932584269663,0.6455026455026455,0.9210769743090074,1000.0,0.1
KNN,0.975,0.82,0.9213483146067416,0.8677248677248677,0.9928341494098349,1000.0,0.1
CBLOF,0.961,0.75,0.8426966292134831,0.7936507936507935,0.9752093637070017,1000.0,0.1
OCSVM,0.931,0.6,0.6741573033707865,0.6349206349206349,0.913787787219872,1000.0,0.1
MCD,0.989,0.89,1.0,0.9417989417989417,0.9999629990503089,1000.0,0.1
Feature Bagging,0.937,0.63,0.7078651685393258,0.6666666666666666,0.9416741696370207,1000.0,0.1
ABOD,0.955,0.72,0.8089887640449438,0.761904761904762,0.9793411364225015,1000.0,0.1
Isolation Forest,0.973,0.81,0.9101123595505618,0.8571428571428572,0.992982153208599,1000.0,0.1
HBOS,0.922,0.5567010309278351,0.6067415730337079,0.5806451612903226,0.8338780695371182,1000.0,0.1
SOS,0.843,0.16,0.1797752808988764,0.1693121693121693,0.5202456863059485,1000.0,0.1
LSCP,0.973,0.81,0.9101123595505618,0.8571428571428572,0.9966329135781151,1000.0,0.1
GODE,0.987,0.935,1.0,0.9664082687338501,0.9999539567588189,1000.0,0.2
