,Accuracy,Precision,Recall,F1,AUC,N,Contamination
LOF,0.919,0.6,0.594059405940594,0.5970149253731343,0.8565012740632987,7000.0,0.1
LOF,0.8477142857142858,0.6185714285714285,0.6194563662374821,0.6190135811293781,0.8452223531448763,7000.0,0.2
LOF,0.9875,0.4125,0.38372093023255816,0.3975903614457831,0.9047772272863515,8000.0,0.01
LOF,0.9515,0.525,0.5147058823529411,0.5198019801980198,0.8553551919977685,8000.0,0.05
LOF,0.9145,0.565,0.5736040609137056,0.5692695214105793,0.8564919120979979,8000.0,0.1
LOF,0.85775,0.638125,0.6462025316455696,0.6421383647798743,0.8568469281123072,8000.0,0.2
LOF,0.9875555555555555,0.4222222222222222,0.3877551020408163,0.40425531914893614,0.861068826542075,9000.0,0.01
LOF,0.951,0.5444444444444444,0.5093555093555093,0.5263157894736841,0.8716512118319842,9000.0,0.05
LOF,0.9112222222222223,0.5766666666666667,0.5538954108858057,0.5650517147523136,0.8554411623195193,9000.0,0.1
LOF,0.856,0.6366666666666667,0.6409395973154363,0.6387959866220736,0.8442634138230961,9000.0,0.2
LOF,0.9861,0.32,0.3106796116504854,0.31527093596059114,0.8595847913116752,10000.0,0.01
LOF,0.954,0.546,0.5395256916996047,0.5427435387673957,0.8757963215377967,10000.0,0.05
LOF,0.9184,0.602,0.5901960784313726,0.596039603960396,0.8601955871435434,10000.0,0.1
LOF,0.8492,0.6205,0.6236180904522614,0.6220551378446115,0.8463156293326808,10000.0,0.2
kNN,0.991,0.4,0.5714285714285714,0.47058823529411764,0.918644799309452,1000.0,0.01
kNN,0.947,0.46,0.46938775510204084,0.46464646464646464,0.8479903002210347,1000.0,0.05
kNN,0.898,0.57,0.49137931034482757,0.5277777777777778,0.7965897565922921,1000.0,0.1
kNN,0.831,0.61,0.5727699530516432,0.5907990314769976,0.8001712093825127,1000.0,0.2
kNN,0.9865,0.4,0.34782608695652173,0.37209302325581395,0.7751643904906425,2000.0,0.01
kNN,0.9565,0.51,0.5730337078651685,0.5396825396825395,0.8577425784488385,2000.0,0.05
kNN,0.924,0.61,0.6224489795918368,0.6161616161616161,0.8753648355129193,2000.0,0.1
kNN,0.845,0.6375,0.6071428571428571,0.6219512195121951,0.8182783303194696,2000.0,0.2
kNN,0.9863333333333333,0.16666666666666666,0.23809523809523808,0.19607843137254902,0.8816477245480266,3000.0,0.01
kNN,0.9563333333333334,0.5733333333333334,0.5620915032679739,0.5676567656765676,0.899236898833998,3000.0,0.05
kNN,0.897,0.49333333333333335,0.4852459016393443,0.48925619834710743,0.8008954043614465,3000.0,0.1
kNN,0.8416666666666667,0.6133333333333333,0.602291325695581,0.6077621800165153,0.8120758057079672,3000.0,0.2
kNN,0.98775,0.375,0.38461538461538464,0.37974683544303806,0.9220411835912972,4000.0,0.01
kNN,0.9455,0.52,0.46017699115044247,0.48826291079812206,0.8189803546388659,4000.0,0.05
kNN,0.92025,0.64,0.5939675174013921,0.6161251504211792,0.8605041219212359,4000.0,0.1
kNN,0.85675,0.64625,0.6406443618339529,0.643434971997511,0.849445483867087,4000.0,0.2
kNN,0.9854,0.42,0.3230769230769231,0.3652173913043478,0.8161780063907724,5000.0,0.01
kNN,0.9518,0.592,0.5156794425087108,0.5512104283054003,0.869347589993132,5000.0,0.05
kNN,0.9126,0.594,0.559322033898305,0.5761396702230843,0.830611296316664,5000.0,0.1
kNN,0.854,0.6486486486486487,0.6309639727361246,0.6396841066140178,0.8334981916642301,5000.0,0.2
kNN,0.9876666666666667,0.45,0.39705882352941174,0.421875,0.8455956725238982,6000.0,0.01
kNN,0.9495,0.5466666666666666,0.4954682779456193,0.519809825673534,0.8527791204510246,6000.0,0.05
kNN,0.917,0.605,0.5817307692307693,0.5931372549019609,0.8441712096497253,6000.0,0.1
